Dia,Mes,Año,Magnitud,Latitud,Longitud,Profundidad,Estado,Clase,Gravedad,Gravedad_Cod
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
4,2,2020,3.5,15.5177,-95.0242,25.3,OAX,Sismos,Baja,1
12,12,2022,3.5,15.0683,-92.62,100.0,CHIS,Sismos,Baja,1
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
3,10,2020,3.6,16.9868,-95.7937,2.7,OAX,Sismos,Baja,1
22,10,2023,3.6,17.1305,-100.994,29.3,GRO,Sismos,Baja,1
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
13,4,2021,3.5,16.3247,-98.3042,6.2,OAX,Sismos,Baja,1
17,11,2023,3.9,17.241,-101.313,5.0,GRO,Sismos,Media,2
26,8,2017,4.1,18.136,-103.228,6.2,MICH,Sismos,Alta,0
5,4,2019,4.1,30.7488,-114.173,10.0,BC,Sismos,Alta,0
23,10,2022,3.5,15.3585,-94.7408,18.7,OAX,Sismos,Baja,1
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
13,4,2021,3.5,16.3247,-98.3042,6.2,OAX,Sismos,Baja,1
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
28,8,2019,3.8,16.121,-97.5443,6.9,OAX,Sismos,Media,2
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
15,5,2023,3.8,18.7697,-104.033,6.2,COL,Sismos,Media,2
27,8,2022,3.7,15.0847,-92.9762,81.0,CHIS,Sismos,Media,2
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
19,6,2022,3.9,15.1318,-93.6212,55.9,CHIS,Sismos,Media,2
6,8,2017,3.6,18.0342,-100.207,59.6,GRO,Sismos,Baja,1
29,5,2021,3.5,19.659,-104.455,48.5,JAL,Sismos,Baja,1
24,11,2020,3.6,18.4175,-100.922,41.4,MICH,Sismos,Baja,1
19,10,2023,4.1,13.9375,-92.9217,10.5,CHIS,Sismos,Alta,0
31,5,2020,4.0,17.3435,-100.925,33.0,GRO,Sismos,Alta,0
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
12,1,2024,3.7,29.77,-116.55,11.2,BC,Sismos,Media,2
24,11,2022,3.5,19.0837,-102.827,10.0,MICH,Sismos,Baja,1
17,3,2017,4.2,17.2007,-99.862,49.7,GRO,Sismos,Alta,0
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
4,7,2020,4.0,15.749,-96.2393,37.0,OAX,Sismos,Alta,0
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
17,3,2017,4.2,17.2007,-99.862,49.7,GRO,Sismos,Alta,0
25,10,2017,3.6,16.392,-95.1172,16.3,OAX,Sismos,Baja,1
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
7,7,2017,3.9,15.3635,-95.7317,20.0,OAX,Sismos,Media,2
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
10,2,2020,3.9,19.449,-102.309,16.2,MICH,Sismos,Media,2
26,8,2017,4.1,18.136,-103.228,6.2,MICH,Sismos,Alta,0
5,4,2019,4.1,30.7488,-114.173,10.0,BC,Sismos,Alta,0
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
13,5,2022,3.9,15.4935,-94.8907,17.4,OAX,Sismos,Media,2
4,10,2018,3.6,16.1152,-97.191,36.5,OAX,Sismos,Baja,1
1,1,2023,3.9,16.8492,-94.9207,8.0,OAX,Sismos,Media,2
17,3,2017,4.2,17.2007,-99.862,49.7,GRO,Sismos,Alta,0
10,5,2023,4.0,18.0955,-103.271,11.3,MICH,Sismos,Alta,0
22,6,2019,4.0,16.77,-94.5282,78.0,OAX,Sismos,Alta,0
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
7,2,2020,3.6,18.1675,-101.855,12.0,MICH,Sismos,Baja,1
30,5,2023,3.6,16.3238,-98.2953,4.8,OAX,Sismos,Baja,1
12,6,2019,3.6,14.7872,-92.4725,79.4,CHIS,Sismos,Baja,1
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
4,6,2024,3.5,14.65,-93.47,10.0,CHIS,Sismos,Baja,1
28,5,2021,3.8,31.5368,-114.355,15.6,BC,Sismos,Media,2
6,3,2022,3.6,18.111,-99.5918,5.0,GRO,Sismos,Baja,1
2,2,2022,4.5,14.2992,-93.9268,19.4,CHIS,Sismos,Alta,0
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
7,1,2019,4.0,14.4775,-94.4327,16.1,CHIS,Sismos,Alta,0
25,11,2021,4.4,29.8847,-113.808,10.0,BC,Sismos,Alta,0
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
14,5,2017,3.6,15.0838,-93.7715,11.8,CHIS,Sismos,Baja,1
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
10,1,2017,3.5,18.0308,-100.631,57.9,GRO,Sismos,Baja,1
3,2,2020,3.5,19.4223,-102.166,18.2,MICH,Sismos,Baja,1
30,5,2023,3.6,16.3238,-98.2953,4.8,OAX,Sismos,Baja,1
14,11,2022,3.6,16.4532,-99.2145,36.6,GRO,Sismos,Baja,1
10,5,2021,3.6,17.1888,-99.8487,38.7,GRO,Sismos,Baja,1
24,11,2022,3.5,19.0837,-102.827,10.0,MICH,Sismos,Baja,1
9,6,2018,3.9,16.3845,-95.1757,62.9,OAX,Sismos,Media,2
26,7,2020,4.2,15.3065,-96.245,21.2,OAX,Sismos,Alta,0
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
26,2,2024,3.5,16.15,-97.26,15.0,OAX,Sismos,Baja,1
6,2,2023,3.6,16.5243,-95.1218,3.4,OAX,Sismos,Baja,1
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
18,2,2018,3.6,16.2735,-98.0343,10.5,OAX,Sismos,Baja,1
22,6,2019,4.2,14.4083,-93.0862,4.9,CHIS,Sismos,Alta,0
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
15,5,2020,4.0,15.8867,-98.9373,16.8,GRO,Sismos,Alta,0
25,11,2021,4.4,29.8847,-113.808,10.0,BC,Sismos,Alta,0
19,9,2017,4.0,15.2947,-94.3308,11.2,CHIS,Sismos,Alta,0
23,11,2022,3.6,16.3462,-98.2408,12.5,OAX,Sismos,Baja,1
24,1,2020,4.0,15.3407,-94.5593,25.8,OAX,Sismos,Alta,0
15,2,2023,3.8,16.8822,-93.9312,150.3,CHIS,Sismos,Media,2
17,7,2022,3.8,14.2632,-93.6462,7.4,CHIS,Sismos,Media,2
25,1,2021,3.6,16.4097,-96.5458,49.3,OAX,Sismos,Baja,1
19,10,2023,4.1,13.9375,-92.9217,10.5,CHIS,Sismos,Alta,0
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
25,9,2020,3.6,18.1932,-97.7693,58.1,PUE,Sismos,Baja,1
4,10,2017,3.9,14.5978,-94.2403,24.1,CHIS,Sismos,Media,2
18,2,2018,3.6,16.2735,-98.0343,10.5,OAX,Sismos,Baja,1
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
6,6,2024,3.8,16.0,-97.43,17.1,OAX,Sismos,Media,2
13,4,2021,3.5,16.3247,-98.3042,6.2,OAX,Sismos,Baja,1
14,6,2023,3.6,18.6068,-102.075,4.6,MICH,Sismos,Baja,1
8,11,2018,4.1,17.2298,-94.444,141.0,OAX,Sismos,Alta,0
2,6,2019,3.5,16.0835,-98.7377,16.4,GRO,Sismos,Baja,1
19,5,2019,3.7,15.3915,-94.7985,36.0,OAX,Sismos,Media,2
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
9,6,2019,3.8,16.9072,-98.8465,35.3,GRO,Sismos,Media,2
22,7,2022,3.5,15.7335,-93.8042,90.7,CHIS,Sismos,Baja,1
7,1,2022,3.7,30.7703,-114.088,10.0,BC,Sismos,Media,2
22,7,2019,4.2,15.1042,-93.862,34.8,CHIS,Sismos,Alta,0
25,1,2023,4.1,14.7458,-94.504,10.0,CHIS,Sismos,Alta,0
